humidity,light,temperature,timestamp
35.0,-5.0,13.79,2025-04-24 02:20:03.071
35.0,-5.0,14.0,2025-04-24 02:30:03.086
35.0,-5.0,13.79,2025-04-24 02:40:03.101
35.0,-5.0,13.37,2025-04-24 02:50:03.117
35.0,-5.0,13.7,2025-04-24 03:00:03.132
34.0,-5.0,12.86,2025-04-24 03:10:03.147
34.0,-5.0,13.52,2025-04-24 03:20:03.162
34.0,-5.0,13.25,2025-04-24 03:30:03.177
34.0,-5.0,13.73,2025-04-24 03:40:03.192
34.0,-5.0,13.76,2025-04-24 03:50:03.207
34.0,-5.0,13.49,2025-04-24 04:00:03.222
34.0,-5.0,14.0,2025-04-24 04:10:03.237
34.0,-5.0,13.55,2025-04-24 04:20:03.252
34.0,-5.0,13.46,2025-04-24 04:30:03.267
34.0,-5.0,13.49,2025-04-24 04:40:03.283
34.0,-5.0,13.31,2025-04-24 04:50:03.298
33.0,-5.0,13.85,2025-04-24 05:00:03.313
33.0,-5.0,13.34,2025-04-24 05:10:03.328
33.0,-5.0,13.13,2025-04-24 05:20:03.343
33.0,-5.0,13.28,2025-04-24 05:30:03.358
33.0,-5.0,13.4,2025-04-24 05:40:03.373
33.0,-5.0,12.92,2025-04-24 05:50:03.388
33.0,-5.0,13.49,2025-04-24 06:00:03.403
33.0,-5.0,12.98,2025-04-24 06:10:03.418
33.0,-5.0,12.34,2025-04-24 06:20:03.433
33.0,-5.0,12.92,2025-04-24 06:30:03.448
33.0,-5.0,12.67,2025-04-24 06:40:03.464
32.0,-5.0,12.98,2025-04-24 06:50:03.479
33.0,-3.0,12.55,2025-04-24 07:00:03.494
33.0,3.0,12.55,2025-04-24 07:10:03.509
78.0,12.0,13.31,2025-04-24 07:20:03.524
77.0,20.0,13.28,2025-04-24 07:30:03.539
82.0,-11.0,18.11,2025-04-24 07:33:00.601
73.0,-16.0,20.14,2025-04-24 07:43:00.617
71.0,-16.0,20.52,2025-04-24 07:53:00.632
70.0,-16.0,20.75,2025-04-24 08:03:00.647
70.0,-16.0,20.86,2025-04-24 08:13:00.662
70.0,-16.0,20.94,2025-04-24 08:23:00.677
69.0,-16.0,20.99,2025-04-24 08:33:00.693
69.0,-16.0,21.05,2025-04-24 08:43:00.708
69.0,-16.0,21.1,2025-04-24 08:53:00.723
69.0,-16.0,21.12,2025-04-24 09:03:00.738
69.0,-16.0,21.1,2025-04-24 09:13:00.753
69.0,-16.0,21.23,2025-04-24 09:23:00.768
70.0,-16.0,21.1,2025-04-24 09:33:00.783
70.0,-16.0,21.31,2025-04-24 09:43:00.798
70.0,-16.0,21.34,2025-04-24 09:53:00.813
71.0,-16.0,21.36,2025-04-24 10:03:00.828
71.0,-16.0,21.36,2025-04-24 10:13:00.843
71.0,-16.0,21.36,2025-04-24 10:23:00.858
71.0,-16.0,21.39,2025-04-24 10:33:00.874
71.0,-16.0,21.44,2025-04-24 10:43:00.889
71.0,-16.0,21.39,2025-04-24 10:53:00.904
72.0,-16.0,21.41,2025-04-24 11:03:00.919
72.0,-16.0,21.47,2025-04-24 11:13:00.934
72.0,-16.0,21.49,2025-04-24 11:23:00.949
72.0,-16.0,21.52,2025-04-24 11:33:00.964
72.0,-16.0,21.44,2025-04-24 11:43:00.979
72.0,-16.0,21.49,2025-04-24 11:53:00.994
72.0,-16.0,21.52,2025-04-24 12:03:01.009
72.0,-16.0,21.55,2025-04-24 12:13:01.024
72.0,-16.0,21.55,2025-04-24 12:23:01.040
72.0,-16.0,21.52,2025-04-24 12:33:01.055
72.0,-16.0,21.57,2025-04-24 12:43:01.070
72.0,-16.0,21.55,2025-04-24 12:53:01.085
72.0,-16.0,21.6,2025-04-24 13:03:01.100
72.0,-16.0,21.62,2025-04-24 13:13:01.115
72.0,-16.0,21.55,2025-04-24 13:23:01.130
72.0,-16.0,21.65,2025-04-24 13:33:01.145
72.0,-16.0,21.62,2025-04-24 13:43:01.160
72.0,-16.0,21.65,2025-04-24 13:53:01.175
72.0,-16.0,21.65,2025-04-24 14:03:01.190
72.0,-16.0,21.65,2025-04-24 14:13:01.206
72.0,-16.0,21.7,2025-04-24 14:23:01.221
72.0,-16.0,21.73,2025-04-24 14:33:01.236
72.0,-16.0,21.7,2025-04-24 14:43:01.251
72.0,-16.0,21.7,2025-04-24 14:53:01.266
72.0,-16.0,21.76,2025-04-24 15:03:01.281
72.0,-16.0,21.78,2025-04-24 15:13:01.296
72.0,-16.0,21.83,2025-04-24 15:23:01.311
72.0,-16.0,21.86,2025-04-24 15:33:01.326
72.0,-16.0,21.83,2025-04-24 15:43:01.341
72.0,-16.0,21.91,2025-04-24 15:53:01.356
72.0,-16.0,21.96,2025-04-24 16:03:01.371
72.0,-16.0,22.02,2025-04-24 16:13:01.387
72.0,-16.0,22.07,2025-04-24 16:23:01.403
72.0,-16.0,22.07,2025-04-24 16:33:01.418
72.0,-16.0,22.12,2025-04-24 16:43:01.433
72.0,-16.0,22.15,2025-04-24 16:53:01.448
72.0,-16.0,22.17,2025-04-24 17:03:01.463
72.0,-16.0,22.17,2025-04-24 17:13:01.478
72.0,-16.0,22.17,2025-04-24 17:23:01.493
72.0,-16.0,22.17,2025-04-24 17:33:01.508
72.0,-16.0,22.2,2025-04-24 17:43:01.523
72.0,-16.0,22.17,2025-04-24 17:53:01.538
72.0,-16.0,22.17,2025-04-24 18:03:01.554
72.0,-16.0,22.15,2025-04-24 18:13:01.569
72.0,-16.0,22.15,2025-04-24 18:23:01.584
71.0,-16.0,22.2,2025-04-24 18:33:01.599
71.0,-16.0,22.17,2025-04-24 18:43:01.614
72.0,-16.0,22.12,2025-04-24 18:53:01.629
72.0,-16.0,22.15,2025-04-24 19:03:01.644
72.0,-16.0,22.07,2025-04-24 19:13:01.659
72.0,-16.0,22.04,2025-04-24 19:23:01.674
72.0,-16.0,22.04,2025-04-24 19:33:01.689
72.0,-16.0,22.02,2025-04-24 19:43:01.704
72.0,-16.0,21.99,2025-04-24 19:53:01.719
72.0,-16.0,21.94,2025-04-24 20:03:01.735
71.0,-16.0,21.94,2025-04-24 20:13:01.751
72.0,-16.0,21.91,2025-04-24 20:23:01.766
71.0,-16.0,21.89,2025-04-24 20:33:01.781
72.0,-16.0,21.86,2025-04-24 20:43:01.796
71.0,-16.0,21.83,2025-04-24 20:53:01.811
71.0,-16.0,21.81,2025-04-24 21:03:01.826
71.0,-16.0,21.86,2025-04-24 21:13:01.841
71.0,-16.0,21.83,2025-04-24 21:23:01.856
71.0,-16.0,21.78,2025-04-24 21:33:01.871
71.0,-16.0,21.78,2025-04-24 21:43:01.886
71.0,-16.0,21.78,2025-04-24 21:53:01.902
76.0,6.0,21.23,2025-04-24 22:02:00.603
67.0,-13.0,24.79,2025-04-24 22:12:00.619
67.0,-13.0,25.04,2025-04-24 22:22:00.635
67.0,-13.0,24.79,2025-04-24 22:32:00.650
67.0,-13.0,24.84,2025-04-24 22:42:00.665
67.0,-12.0,25.45,2025-04-24 22:52:00.680
66.0,-12.0,25.5,2025-04-24 23:02:00.695
66.0,-12.0,25.47,2025-04-24 23:12:00.710
66.0,-11.0,25.87,2025-04-24 23:22:00.725
66.0,-11.0,26.15,2025-04-24 23:32:00.740
65.0,-10.0,26.37,2025-04-24 23:42:00.755
65.0,-10.0,26.35,2025-04-24 23:52:00.771
63.0,-7.0,28.31,2025-04-25 00:02:00.787
63.0,-7.0,28.43,2025-04-25 00:12:00.802
62.0,-7.0,28.36,2025-04-25 00:22:00.817
62.0,-7.0,28.58,2025-04-25 00:32:00.832
62.0,-7.0,28.43,2025-04-25 00:42:00.847
62.0,-7.0,28.58,2025-04-25 00:52:00.862
62.0,-7.0,28.28,2025-04-25 01:02:00.877
63.0,-8.0,27.81,2025-04-25 01:12:00.892
63.0,-8.0,27.79,2025-04-25 01:22:00.907
63.0,-8.0,27.74,2025-04-25 01:32:00.922
63.0,-8.0,27.76,2025-04-25 01:42:00.937
63.0,-8.0,27.59,2025-04-25 01:52:00.953
63.0,-8.0,27.52,2025-04-25 02:02:00.968
63.0,-8.0,27.39,2025-04-25 02:12:00.983
63.0,-8.0,27.34,2025-04-25 02:22:00.998
63.0,-8.0,27.42,2025-04-25 02:32:01.013
63.0,-8.0,27.37,2025-04-25 02:42:01.028
63.0,-9.0,27.12,2025-04-25 02:52:01.043
63.0,-9.0,27.15,2025-04-25 03:02:01.058
63.0,-9.0,27.07,2025-04-25 03:12:01.074
63.0,-9.0,27.07,2025-04-25 03:22:01.089
63.0,-9.0,27.05,2025-04-25 03:32:01.104
64.0,-9.0,26.92,2025-04-25 03:42:01.119
64.0,-9.0,26.92,2025-04-25 03:52:01.135
64.0,-9.0,26.87,2025-04-25 04:02:01.150
64.0,-9.0,26.85,2025-04-25 04:12:01.165
64.0,-9.0,26.92,2025-04-25 04:22:01.181
64.0,-9.0,26.67,2025-04-25 04:32:01.196
64.0,-9.0,26.72,2025-04-25 04:42:01.211
64.0,-9.0,26.65,2025-04-25 04:52:01.226
64.0,-9.0,26.65,2025-04-25 05:02:01.241
64.0,-9.0,26.95,2025-04-25 05:12:01.256
63.0,-9.0,26.7,2025-04-25 05:22:01.272
63.0,-9.0,26.75,2025-04-25 05:32:01.287
64.0,-9.0,26.62,2025-04-25 05:42:01.302
64.0,-9.0,26.5,2025-04-25 05:52:01.318
64.0,-9.0,26.52,2025-04-25 06:02:01.333
64.0,-9.0,26.52,2025-04-25 06:12:01.348
64.0,-9.0,26.42,2025-04-25 06:22:01.363
64.0,-9.0,26.4,2025-04-25 06:32:01.378
64.0,-9.0,26.4,2025-04-25 06:42:01.393
64.0,-8.0,26.4,2025-04-25 06:52:01.408
64.0,0.0,26.35,2025-04-25 07:02:01.423
63.0,12.0,26.4,2025-04-25 07:12:01.438
63.0,31.0,26.42,2025-04-25 07:22:01.453
63.0,66.0,26.7,2025-04-25 07:32:01.468
63.0,79.0,26.85,2025-04-25 07:42:01.483
63.0,83.0,26.95,2025-04-25 07:52:01.499
63.0,80.0,27.07,2025-04-25 08:02:01.515
63.0,87.0,27.07,2025-04-25 08:12:01.530
63.0,90.0,27.1,2025-04-25 08:22:01.545
63.0,91.0,27.1,2025-04-25 08:32:01.560
63.0,92.0,27.22,2025-04-25 08:42:01.575
63.0,92.0,27.07,2025-04-25 08:52:01.590
63.0,92.0,27.42,2025-04-25 09:02:01.605
62.0,92.0,27.74,2025-04-25 09:12:01.620
62.0,92.0,27.86,2025-04-25 09:22:01.635
62.0,92.0,27.81,2025-04-25 09:32:01.650
63.0,91.0,27.72,2025-04-25 09:42:01.665
63.0,90.0,27.64,2025-04-25 09:52:01.681
63.0,89.0,27.74,2025-04-25 10:02:01.697
63.0,88.0,27.69,2025-04-25 10:12:01.712
63.0,88.0,27.69,2025-04-25 10:22:01.728
63.0,86.0,27.44,2025-04-25 10:32:01.743
63.0,85.0,27.34,2025-04-25 10:42:01.758
63.0,83.0,27.42,2025-04-25 10:52:01.773
63.0,82.0,27.52,2025-04-25 11:02:01.788
63.0,80.0,27.86,2025-04-25 11:12:01.803
62.0,79.0,28.14,2025-04-25 11:22:01.818
62.0,77.0,28.58,2025-04-25 11:32:01.833
62.0,76.0,28.33,2025-04-25 11:42:01.849
62.0,74.0,28.6,2025-04-25 11:52:01.865
62.0,72.0,28.6,2025-04-25 12:02:01.881
62.0,70.0,28.7,2025-04-25 12:12:01.896
61.0,69.0,28.82,2025-04-25 12:22:01.911
61.0,68.0,28.97,2025-04-25 12:32:01.927
61.0,68.0,28.97,2025-04-25 12:42:01.942
61.0,67.0,29.36,2025-04-25 12:52:01.957
58.0,69.0,31.34,2025-04-25 13:02:01.972
58.0,64.0,31.36,2025-04-25 13:12:01.987
59.0,62.0,31.17,2025-04-25 13:22:02.002
73.0,90.0,23.67,2025-04-25 16:23:00.605
